cosine_score,mass_difference,node1,node2
0.9058,-4.031,46617_pos,48113_pos
0.9563,-0.05,3981_pos,4197_pos
0.9234,-15,4197_pos,15416_pos
0.8953,-0.984,4197_pos,8588_pos
0.8301,-54.12,38801_pos,50452_pos
0.7958,-26.088,38801_pos,49567_pos
0.8361,-135.053,35700_pos,38801_pos
0.8812,-100.016,35724_pos,38801_pos
0.7904,-108.094,38801_pos,51095_pos
0.9026,74.037,36679_pos,38801_pos
0.8628,18.01,38801_pos,44151_pos
0.8177,-14.016,38801_pos,42668_pos
0.8016,-28.031,38801_pos,43937_pos
0.9157,-14.016,28245_pos,33817_pos
0.9111,-58.078,33817_pos,40287_pos
0.8929,-58.042,33817_pos,39466_pos
0.9299,-116.084,33817_pos,41175_pos
0.9088,-348.288,33817_pos,48907_pos
0.9131,-406.33,33817_pos,49719_pos
0.9412,0,25789_pos,28272_pos
0.9531,0,22505_pos,28272_pos
0.9199,-28.031,27775_pos,41302_pos
0.9057,-17.967,1404_pos,27775_pos
0.8975,12.027,14429_pos,27775_pos
0.9511,-0.001,26504_pos,27775_pos
0.7838,419.411,18605_pos,39172_pos
0.7754,4.073,35621_pos,39172_pos
0.8927,15.995,3636_pos,9158_pos
0.9135,-89.084,3636_pos,16389_pos
0.8979,-89.084,3636_pos,13467_pos
0.8882,-28.031,3636_pos,12364_pos
0.9538,-72.057,3636_pos,16401_pos
0.9109,-45.058,3636_pos,12373_pos
0.9546,-72.057,3636_pos,13460_pos
0.877,-44.024,3636_pos,5075_pos
0.8955,17.027,3367_pos,3636_pos
0.9023,-132.092,42517_pos,43011_pos
0.9456,0.004,42517_pos,44188_pos
0.9235,-88.065,42517_pos,42969_pos
0.869,-27.013,42517_pos,43344_pos
0.8661,18.01,46484_pos,47422_pos
0.8483,26.015,35354_pos,40604_pos
1,0,33870_pos,33870_pos
1,0,42057_pos,42057_pos
0.9376,0,34153_pos,35042_pos
0.8652,-32.026,33096_pos,35042_pos
1,0,48565_pos,48565_pos
0.9501,0,34191_pos,43690_pos
1,0,47896_pos,47896_pos
1,0,42210_pos,42210_pos
0.9017,-14.016,44739_pos,45033_pos
0.963,5.902,9619_pos,49985_pos
0.9643,2.016,6134_pos,9619_pos
0.9633,2.016,9619_pos,17116_pos
0.9381,-28.031,28605_pos,37164_pos
0.8341,41.063,37164_pos,45840_pos
0.9723,103.063,37141_pos,37164_pos
0.8535,-56.062,15188_pos,37164_pos
1,0,8343_pos,8343_pos
0.9424,-330.181,35155_pos,35642_pos
0.9535,32.026,35504_pos,35642_pos
1,0,40298_pos,40298_pos
0.8722,-116.084,43089_pos,46433_pos
0.8789,-58.042,45057_pos,46433_pos
1,0,51342_pos,51342_pos
0.7703,45.058,2790_pos,2882_pos
1,0,54460_pos,54460_pos
1,0,29393_pos,29393_pos
0.9227,-14.016,48941_pos,49358_pos
1,0,32090_pos,32090_pos
1,0,7809_pos,7809_pos
0.8725,-92.026,6560_pos,8080_pos
0.8751,0,3872_pos,6560_pos
0.9619,0,5196_pos,6560_pos
0.7442,-15,6560_pos,7059_pos
0.7667,139.038,5067_pos,6560_pos
1,0,54230_pos,54230_pos
0.898,-0.036,45333_pos,49189_pos
0.8258,0.036,40813_pos,41692_pos
0.8061,-0.077,41627_pos,41692_pos
1,0,32288_pos,32288_pos
0.8921,-88.053,26213_pos,27773_pos
0.8931,-44.026,27658_pos,27773_pos
0.8691,-132.079,25574_pos,27773_pos
1,0,17247_pos,17247_pos
1,0,36954_pos,36954_pos
0.9144,0,52679_pos,53173_pos
0.9364,0,23823_pos,26869_pos
0.9211,-14.016,20781_pos,26869_pos
1,0,5974_pos,5974_pos
0.8236,-2.016,3890_pos,5115_pos
0.8958,0,3066_pos,3890_pos
1,0,31398_pos,31398_pos
0.8945,-58.042,33541_pos,37594_pos
1,0,4041_pos,4041_pos
1,0,49979_pos,49979_pos
0.9578,0.008,40141_pos,41620_pos
0.8874,-14.023,36692_pos,40141_pos
0.9428,0.008,40141_pos,41139_pos
0.9558,44.026,15459_pos,15556_pos
0.9448,-44.026,15459_pos,18425_pos
0.8953,-132.079,15459_pos,19352_pos
0.8749,-176.105,15459_pos,17017_pos
0.9283,-88.053,15459_pos,17496_pos
0.8991,-132.079,15459_pos,17692_pos
0.9307,-88.053,15459_pos,19324_pos
1,0,46044_pos,46044_pos
0.8934,-206.116,3413_pos,6770_pos
0.8783,-44.026,5423_pos,6770_pos
0.9032,-44.027,6770_pos,7673_pos
